年份,主题,播放量
2019,搞笑,957765
2019,单机游戏,13753157
2019,美食测评,1614364
2019,日常,1354817
2019,数码,2685731
2019,电子竞技,2074584
2019,美食侦探,3401393
2019,家居房产,1847841
2019,短片·手书·配音,6773050
2019,数码,10244861
2019,搞笑,6096392
2019,电子竞技,482533
2019,原创音乐,1183933
2019,出行,3424460
2019,日常,4907079
2019,日常,9074778
2019,电子竞技,2597003
2019,明星综合,1088580
2019,小剧场,2342805
2019,单机游戏,2327754
2019,日常,7823969
2019,动漫杂谈,948090
2019,电子竞技,5873910
2019,美食测评,1880151
2019,翻唱,3078166
2019,美食测评,2782650
2019,动漫杂谈,1750647
2019,手工,5238620
2019,喵星人,2150413
2019,美食制作,6145017
2019,电子竞技,1484313
2019,日常,2765550
2019,电子竞技,5082087
2019,搞笑,4449518
2019,翻唱,7934578
2019,社会,2651834
2019,电子竞技,14912205
2019,网络游戏,3179974
2019,电子竞技,10257720
2019,音乐现场,8924151
2019,野生技能协会,3563860
2019,美食测评,3659127
2019,MAD·AMV,2572129
2019,短片·手书·配音,1929160
2019,综合,1681970
2019,日常,1732184
2019,手工,3236005
2019,三农,2474050
2019,日常,2069838
2019,美食侦探,2804055
2019,综合,8646555
2019,单机游戏,4780873
2019,影视剪辑,12975661
2019,单机游戏,22923415
2019,搞笑,2403009
2019,搞笑,8789673
2019,热点,1899819
2019,电子竞技,1827037
2019,搞笑,3539014
2019,日常,2880233
2019,日常,8441621
2019,搞笑,1937311
2019,动漫杂谈,3639013
2019,热点,11258275
2019,搞笑,5568476
2019,搞笑,6378266
2019,校园学习,2336443
2019,美食侦探,2308097
2019,短片·手书·配音,1364117
2019,热点,2241087
2019,美食制作,8243235
2019,社科·法律·心理,602828
2019,单机游戏,7754038
2019,单机游戏,5888462
2019,美食测评,2804189
2019,动漫杂谈,13845615
2019,搞笑,4499290
2019,搞笑,10119643
2019,综合,10428650
2019,翻唱,3811472
2019,搞笑,12318826
2019,搞笑,5021292
2019,穿搭,2610408
2019,网络游戏,6717730
2019,影视杂谈,3603489
2019,MV,7139604
2019,热点,11259978
2019,日常,8018569
2019,日常,6081740
2019,综合,6755887
2019,美食制作,10450185
2019,搞笑,11172299
2019,网络游戏,3571843
2019,美食制作,8704977
2019,乐评盘点,4054278
2019,鬼畜调教,7579849
2019,影视剪辑,6617654
2019,舞蹈综合,4573897
2019,热点,2564569
2019,翻唱,4788948
2019,日常,3844946
2019,电子竞技,3857421
2019,搞笑,3230496
2019,田园美食,8599343
2019,搞笑,3467951
2019,社会,10351795
2019,音乐综合,8461095
2019,手工,2998757
2019,预告·资讯,2009703
2019,美食测评,1406381
2019,手工,5128699
2019,美食制作,3575373
2019,影视剪辑,5273694
2019,搞笑,3657463
2019,校园学习,1525418
2019,网络游戏,5096433
2019,翻唱,3913746
2019,热点,5117493
2019,热点,4337223
2019,动漫杂谈,3223671
2019,舞蹈综合,18598861
2019,日常,3930320
2019,社科·法律·心理,1356674
2019,单机游戏,18426227
2019,汪星人,2558119
2019,日常,8963116
2019,影视剪辑,8111816
2019,手工,3951132
2019,数码,8237507
2019,搞笑,8617041
2019,搞笑,3708526
2019,翻唱,7581756
2019,影视剪辑,3022382
2019,影视剪辑,6450466
2019,MV,3830727
2019,MAD·AMV,6097294
2019,演奏,11270536
2019,日常,7216233
2019,短片·手书·配音,2061415
2019,短片·手书·配音,4435277
2019,美食测评,5681308
2019,美食测评,2070984
2019,科学科普,9281890
2019,搞笑,7171883
2019,喵星人,8581161
2019,热点,652538
2019,田园美食,3289066
2019,单机游戏,3577770
2019,手工,3763663
2019,搞笑,7856691
2019,日常,1789841
2019,鬼畜调教,3617768
2019,搞笑,1993069
2019,搞笑,5181168
2019,单机游戏,1497213
2019,翻唱,12317710
2019,搞笑,3032043
2019,明星综合,7406896
2019,搞笑,5140487
2019,日常,8024864
2019,热点,489328
2019,日常,12720601
2019,MAD·AMV,1178459
2019,短片·手书·配音,2638618
2019,日常,13790739
2019,单机游戏,24456080
2019,影视杂谈,2259138
2019,科学科普,2251315
2019,极客DIY,25181923
2019,搞笑,4981649
2019,日常,4813582
2019,美食测评,4519612
2019,田园美食,3544856
2019,综合,2830145
2019,日常,3811527
2019,宅舞,6087784
2019,搞笑,48237008
2019,综合,3653527
2019,MV,12379956
2019,单机游戏,14768826
2019,原创音乐,3015606
2019,喵星人,8152172
2019,动漫杂谈,7105113
2019,搞笑,5186220
2019,出行,700899
2019,美食测评,2239226
2019,日常,2165214
2019,日常,5205868
2019,搞笑,3236491
2019,网络游戏,4724613
2019,日常,7527310
2019,日常,2824528
2019,翻唱,6745578
2019,美食测评,2727503
2020,电子竞技,14015505
2020,鬼畜调教,12764719
2020,影视剪辑,2868176
2020,喵星人,9676486
2020,搞笑,11297128
2020,财经商业,10637933
2020,搞笑,8344488
2020,演奏,2262179
2020,动漫杂谈,7778180
2020,日常,2824528
2020,电子竞技,2431312
2020,鬼畜调教,4537692
2020,原创音乐,3645201
2020,综艺,4681555
2020,美食测评,5902724
2020,环球,2067893
2020,单机游戏,5618582
2020,社会,5882293
2020,搞笑,3550887
2020,美食测评,3799069
2020,搞笑,7645196
2020,喵星人,3338662
2020,田园美食,4043903
2020,动漫杂谈,6807352
2020,综合,1509984
2020,单机游戏,9581621
2020,影视剪辑,2171432
2020,综合,6227820
2020,搞笑,3700751
2020,宅舞,1406889
2020,动漫杂谈,3146852
2020,美食测评,4003688
2020,野生技能协会,1917489
2020,日常,10025564
2020,单机游戏,3013194
2020,手工,6923021
2020,MAD·AMV,1095230
2020,日常,4695759
2020,搞笑,3645190
2020,美食制作,6464870
2020,亲子,5444146
2020,三农,2458193
2020,健身,3469150
2020,田园美食,1743696
2020,单机游戏,2557147
2020,野生技能协会,3219371
2020,日常,1998093
2020,鬼畜调教,9422553
2020,搞笑,4395432
2020,动漫杂谈,4115071
2020,科学科普,4887326
2020,鬼畜调教,4068070
2020,热点,1007597
2020,日常,12109842
2020,搞笑,6728397
2020,日常,14483309
2020,日常,869657
2020,电子竞技,3455639
2020,电子竞技,4532797
2020,电子竞技,2209735
2020,MAD·AMV,6689772
2020,综合,3143014
2020,搞笑,2238961
2020,综合,4855271
2020,手工,4068454
2020,喵星人,3822021
2020,翻唱,2266030
2020,日常,5491819
2020,单机游戏,2123582
2020,搞笑,3584754
2020,鬼畜调教,345580
2020,短片·手书·配音,6615626
2020,热点,4149174
2020,热点,1107318
2020,原创音乐,2328230
2020,综合,3095439
2020,MAD·AMV,49535553
2020,搞笑,2978746
2020,科学科普,2118984
2020,日常,3688443
2020,综合,1736521
2020,综合,75959837
2020,搞笑,9364086
2020,出行,501567
2020,鬼畜调教,1000766
2020,影视剪辑,3578083
2020,原创音乐,36837041
2020,单机游戏,2421813
2020,科学科普,1273377
2020,日常,3338387
2020,单机游戏,3689998
2020,综合,3647120
2020,日常,13751807
2020,MAD·AMV,13518552
2020,喵星人,2719020
2020,鬼畜剧场,10505622
2020,搞笑,4404547
2020,动漫杂谈,8085419
2020,影视剪辑,14897770
2020,日常,660108
2020,鬼畜调教,21625675
2020,单机游戏,2795776
2020,日常,4094766
2020,搞笑,2720799
2020,综合,4686438
2020,MAD·AMV,26344045
2020,日常,1761565
2020,单机游戏,6311331
2020,日常,1321820
2020,动漫杂谈,3697564
2020,单机游戏,11145997
2020,动漫杂谈,3115925
2020,科学科普,2984296
2020,鬼畜调教,7578588
2020,明星综合,4538146
2020,绘画,4674625
2020,美食制作,8061656
2020,日常,3597897
2020,明星综合,10239519
2020,影视剪辑,4888241
2020,动漫杂谈,7310752
2020,搞笑,5237256
2020,人力VOCALOID,12836211
2020,财经商业,5329512
2020,搞笑,11718957
2020,热点,890120
2020,手工,4679505
2020,明星综合,3681902
2020,动漫杂谈,3063062
2020,日常,8740219
2020,翻唱,6486677
2020,短片·手书·配音,13956812
2020,舞蹈综合,3028571
2020,搞笑,11713910
2020,翻唱,3383574
2020,VOCALOID·UTAU,3161089
2020,科学科普,1529940
2020,电子竞技,3592600
2020,MMD·3D,7569637
2020,美食测评,17131981
2020,日常,3999820
2020,日常,1018943
2020,日常,5620618
2020,三农,1712623
2020,音乐综合,31005430
2020,原创音乐,3512903
2020,动漫杂谈,13250525
2020,鬼畜调教,24030084
2020,软件应用,2262151
2020,MAD·AMV,20315398
2020,MAD·AMV,1928886
2020,单机游戏,9649867
2020,短片·手书·配音,10752574
2020,综合,4222278
2020,手工,8868063
2020,影视剪辑,6494609
2020,单机游戏,1487736
2020,动漫杂谈,8420525
2020,单机游戏,12051805
2020,鬼畜调教,11094871
2020,明星综合,998114
2020,单机游戏,4754015
2020,GMV,3206976
2020,原创音乐,3637044
2020,美食制作,4859165
2020,财经商业,4244836
2020,日常,3107610
2020,单机游戏,5871629
2020,美食制作,4122884
2020,明星舞蹈,7185315
2020,日常,2087734
2020,搞笑,9356617
2020,单机游戏,20012912
2020,极客DIY,11524899
2020,小剧场,11031936
2020,翻唱,5224091
2020,动漫杂谈,5472333
2020,日常,4621526
2020,短片·手书·配音,10339152
2020,国产原创相关,9283699
2020,美食制作,3543691
2020,MAD·AMV,7899545
2020,日常,7887972
2020,翻唱,3879515
2020,社科·法律·心理,1241195
2020,短片·手书·配音,2344559
2020,手工,4802227
2020,影视剪辑,11220191
2020,日常,11669224
2020,日常,2174799
2020,搞笑,1280905
2020,单机游戏,4179708
2020,日常,7429776
2020,社科·法律·心理,5648216
2020,单机游戏,4460608
2020,单机游戏,2384312
2020,影视杂谈,2128417
2020,单机游戏,12147972
2020,数码,11154092
2020,MAD·AMV,4122865
2020,鬼畜调教,1497822
2020,搞笑,6212304
2020,翻唱,4691585
2020,动漫杂谈,6110606
2020,鬼畜调教,2139723
2020,影视剪辑,25099572
2020,单机游戏,7151398
2020,宅舞,4721254
2020,单机游戏,10061721
2020,网络游戏,3169433
2020,原创音乐,11955504
2020,日常,11791249
2020,日常,5017202
2020,搞笑,5012529
2020,单机游戏,2463695
2020,健身,4033214
2020,鬼畜剧场,1378709
2020,特摄,5653700
2020,单机游戏,4084325
2020,美食制作,11298318
2020,电子竞技,1176045
2020,财经商业,1994384
2020,短片·手书·配音,10045372
2020,美食测评,4313449
2020,影视杂谈,1772201
2020,社科·法律·心理,9721012
2020,单机游戏,11843057
2020,动漫杂谈,7729934
2020,日常,14461748
2020,鬼畜调教,16133400
2020,鬼畜调教,2970638
2020,电子竞技,1631806
2020,搞笑,2006966
2020,影视剪辑,8410779
2020,搞笑,3258006
2020,原创音乐,4939945
2020,野生技能协会,3406345
2020,国产原创相关,853485
2020,校园学习,2973742
2020,日常,3513379
2020,单机游戏,3074143
2020,手工,2746206
2020,音乐综合,8371728
2020,影视剪辑,2275894
2020,日常,4185500
2020,社科·法律·心理,4928550
2020,健身,38967152
2020,日常,1899459
2020,原创音乐,2978722
2020,日常,8383804
2020,翻唱,5515761
2020,竞技体育,1518578
2020,动漫杂谈,8822133
2020,单机游戏,12920394
2020,综合,54273040
2020,MAD·AMV,19040318
2020,MAD·AMV,15161255
2020,短片·手书·配音,4940129
2020,社科·法律·心理,4459325
2020,综合,6630296
2020,搞笑,4505328
2020,数码,4016608
2020,极客DIY,6740369
2020,短片·手书·配音,2963359
2020,校园学习,2567112
2020,美食制作,2834761
2020,财经商业,3762052
2020,搞笑,13296770
2020,综合,7007770
2020,单机游戏,17787120
2020,搞笑,3182152
2020,翻唱,2818422
2020,单机游戏,9151196
2020,人文历史,2585802
2020,综合,2131588
2020,影视杂谈,2433578
2020,科学科普,3659619
2020,鬼畜调教,16585198
2020,短片·手书·配音,5724819
2020,社科·法律·心理,11179962
2020,日常,13648951
2020,科学科普,10895122
2020,财经商业,6660121
2020,动漫杂谈,6392330
2020,日常,7610162
2020,社科·法律·心理,3323226
2020,日常,14189890
2020,数码,1404242
2020,竞技体育,10639725
2020,综合,13817585
2020,国产原创相关,15475123
2020,动漫杂谈,3600885
2020,人力VOCALOID,4869908
2020,动漫杂谈,2024758
2020,手工,2911043
2020,综合,8202381
2020,美食制作,9974962
2020,小剧场,3186391
2020,日常,4246690
2020,亲子,9967371
2020,日常,1016573
2020,音乐综合,4984506
2020,单机游戏,3987009
2020,人文历史,1891368
2020,搞笑,14444266
2020,社科·法律·心理,2111757
2020,鬼畜调教,22771080
2020,财经商业,11431094
2020,数码,7946591
2020,单机游戏,20662560
2020,社科·法律·心理,4769604
2020,翻唱,6761290
2020,搞笑,4755638
2020,手工,6186098
2020,短片·手书·配音,6170621
2020,动漫杂谈,5267101
2020,日常,4827446
2020,美妆护肤,4846543
2020,搞笑,12716846
2020,搞笑,4700312
2020,翻唱,5659020
2020,日常,12408081
2020,美食制作,6256419
2020,单机游戏,5951659
2020,科学科普,2204263
2020,美食制作,3306350
2020,VOCALOID·UTAU,7461716
2020,单机游戏,2853181
2020,单机游戏,4198707
2020,单机游戏,3716563
2020,演奏,20702184
2020,电子竞技,3151835
2020,单机游戏,12244983
2020,人力VOCALOID,11139807
2020,MV,20607124
2020,日常,4491310
2020,短片·手书·配音,5920245
2020,动漫杂谈,5744686
2020,影视杂谈,4182120
2020,财经商业,10047483
2020,美食制作,4659254
2020,鬼畜剧场,3493532
2020,短片·手书·配音,6123968
2020,电子竞技,2203918
2020,单机游戏,12082647
2020,社科·法律·心理,3483709
2020,单机游戏,7685241
2020,日常,5288855
2020,综合,2789012
2020,单机游戏,2827389
2020,影视剪辑,36763894
2020,单机游戏,7981754
2020,手势·网红舞,3734621
2020,美食制作,7175238
2020,鬼畜调教,4262933
2020,短片·手书·配音,6355093
2020,搞笑,4247838
2020,搞笑,4331897
2020,社科·法律·心理,819499
2020,美食侦探,4628713
2020,手机游戏,8587813
2020,社科·法律·心理,8339682
2020,日常,3577572
2020,翻唱,7385580
2020,短片·手书·配音,5525402
2020,极客DIY,8302851
2020,鬼畜调教,16401318
2020,财经商业,6185641
2020,手工,12362789
2020,社科·法律·心理,17009523
2020,家居房产,2339359
2020,影视剪辑,17158756
2020,人力VOCALOID,1922280
2020,日常,3735889
2020,健身,6023522
2020,美食测评,5112984
2020,搞笑,16261452
2020,动漫杂谈,2899323
2020,日常,3903135
2020,动漫杂谈,2977886
2020,单机游戏,2715806
2020,短片·手书·配音,1816713
2020,影视剪辑,35649527
2020,网络游戏,13066289
2020,音乐综合,14491403
2020,鬼畜调教,4225710
2020,特摄,12338853
2020,日常,6437934
2020,鬼畜调教,3842868
2020,日常,6509437
2020,数码,7132007
2020,社科·法律·心理,4100248
2020,人力VOCALOID,8786067
2020,综合,6249493
2020,喵星人,8037067
2020,短片·手书·配音,2323273
2020,美食制作,6647500
2020,单机游戏,4390554
2020,搞笑,5165946
2020,宅舞,3554318
2020,单机游戏,11443492
2020,财经商业,3541633
2020,科学科普,4473799
2020,宅舞,3750668
2020,搞笑,4095880
2020,综合,2823664
2020,单机游戏,3272848
2020,原创音乐,19043366
2020,财经商业,5498859
2020,影视剪辑,4178567
2020,人力VOCALOID,3038399
2020,社科·法律·心理,3575020
2020,野生技能协会,5848674
2020,MAD·AMV,6992175
2020,短片·手书·配音,3200592
2020,短片·手书·配音,2529316
2020,日常,4182651
2020,日常,6195120
2020,单机游戏,10474474
2020,日常,11810148
2020,MAD·AMV,9274917
2020,单机游戏,7692852
2020,短片·手书·配音,9902173
2020,日常,6143742
2020,出行,3998902
2020,GMV,10308128
2020,科学科普,2476073
2020,田园美食,3149253
2020,影视杂谈,5325706
2020,搞笑,14004808
2020,手机游戏,4790675
2020,日常,4289325
2020,日常,4474642
2020,科学科普,4334182
2020,数码,8015843
2020,鬼畜调教,3103888
2020,短片·手书·配音,6473425
2020,日常,5070719
2020,演奏,11256884
2020,影视剪辑,8396194
2020,财经商业,5223110
2020,电子竞技,3249064
2020,社科·法律·心理,3425171
2020,影视杂谈,2157602
2020,手工,4840440
2020,鬼畜调教,2415290
2020,家居房产,5857826
2020,演奏,2060574
2020,日常,11193970
2020,动漫杂谈,3236879
2020,舞蹈综合,3756684
2020,单机游戏,4862009
